# מילה בעברית(|צורות נוספות)	באנגלית	הגייה באותיות עבריות (לקול)
# משפחה ואנשים
אמא	mother	מאדר
מרתף	basement	בייסמנט
עליית גג	attic	אטיק
ארובה	chimney	צ'ימני
אח בוער	fireplace	פיירפלייס
פח	trash can	טראש קאן
זבל	garbage	גארבג'
צנצנת	jar	ג'אר
קערה	bowl	בול
מגש	tray	טריי
קומקום	kettle	קטל
טוסטר	toaster	טוסטר
מיקרוגל	microwave	מייקרווייב
כיור	sink	סינק
ברז	faucet	פוסט
מגבון	wipe	וואייפ
ספוג	sponge	ספאנג'
מטאטא	broom	ברום
שואב אבק	vacuum cleaner	וואקיום קלינר
מגהץ	iron	איירן
תנור חימום	heater	היטר
פעמון	bell	בל
שלט	sign	סיין
שלט רחוק	remote control	רימוט קונטרול
אוזניות	headphones	הדפונז
רמקול	speaker	ספיקר
מיקרופון	microphone	מייקרופון
כבל	cable	קייבל
נורה	light bulb	לייט באלב
תקע	plug	פלאג
שקע	socket	סוקט
מדפסת	printer	פרינטר
טאבלט	tablet	טאבלט
מחשב נייד	laptop	לפטופ
תמונה דיגיטלית	digital photo	דיג'יטל פוטו
סרטון	video	וידאו
הקלטה	recording	ריקורדינג
לוח	board	בורד
גיר	chalk	צ'וק
תרמיל	backpack	בקפאק
קלמר	pencil case	פנסיל קייס
מילון	dictionary	דיקשנרי
אנציקלופדיה	encyclopedia	אנסייקלופידיה
מפת עולם	world map	וורלד מאפ
גלובוס	globe	גלוב
מספרה	barber shop	בארבר שופ
ספר תורה	torah scroll	טורה סקרול
מזוזה	mezuzah	מזוזה
כיפה	kippah	כיפה
טלית	prayer shawl	פרייר שול
מנורת חנוכה|חנוכייה	menorah	מנורה
סוכה	sukkah	סוכה
שופר	shofar	שופר
מגילה	scroll	סקרול
ארוחת חג	holiday meal	הולידיי מיל
פרי	fruit	פרוט
ירק|ירקות	vegetable	וג'טבל
קמח	flour	פלאואר
שמרים	yeast	יסט
קינוח	dessert	דזרט
חטיף	snack	סנאק
כריך	sandwich	סנדוויץ'
פיצה	pizza	פיצה
המבורגר	hamburger	המבורגר
נקניקייה	hot dog	הוט דוג
צ'יפס	french fries	פרנץ' פרייז
קטשופ	ketchup	קצ'אפ
חרדל	mustard	מאסטרד
רוטב	sauce	סוס
תבלין	spice	ספייס
פלפל שחור	black pepper	בלאק פפר
קינמון	cinnamon	סינמון
וניל	vanilla	ונילה
זיתים	olives	אוליבז
תמר|תמרים	dates	דייטס
תאנה	fig	פיג
רימון	pomegranate	פומגרנט
שזיף	plum	פלאם
אבוקדו	avocado	אבוקדו
קוקוס	coconut	קוקונאט
בוטן|בוטנים	peanut	פינאט
שקד|שקדים	almond	אלמונד
גרעין	seed	סיד
דייסה	porridge	פורג'
דגני בוקר	cereal	סיריאל
פנקייק	pancake	פנקייק
ביסקוויט	biscuit	ביסקיט
מאפה	pastry	פייסטרי
קרם	cream	קרים
יוגורט	yogurt	יוגורט
שמנת	cream	קרים
משקה	drink	דרינק
סודה	soda	סודה
קרח	ice	אייס
ענק	giant	ג'איינט
גמד	dwarf	דוורף
מפלצת	monster	מונסטר
רוח רפאים	ghost	גוסט
מלאך	angel	איינג'ל
גיבור	hero	הירו
גנב	thief	ת'יף
שודד	robber	רובר
חוקר	researcher	ריסרצ'ר
מלח ספן	sailor	סיילור
דייג	fisherman	פישרמן
צייד	hunter	האנטר
רועה	shepherd	שפרד
נגר	carpenter	קרפנטר
חשמלאי	electrician	אלקטרישן
שרברב	plumber	פלאמר
ספר	barber	בארבר
סטודנט	college student	קולג' סטודנט
מנהיג	leader	לידר
נשיא	president	פרזידנט
ראש ממשלה	prime minister	פריים מיניסטר
שגריר	ambassador	אמבסדור
שכנה	neighbor	נייבור
תינוקת	baby girl	בייבי גירל
נער	teenager	טינאייג'ר
זקן	old man	אולד מן
זוג	couple	קאפל
תאומים	twins	טווינז
יתום	orphan	אורפן
אלמנה	widow	וידו
מבקר	visitor	ויזיטור
לקוח	customer	קסטומר
אזרח	citizen	סיטיזן
עם	nation	ניישן
קהל	audience	אודיינס
המון	crowd	קראוד
חברה	company	קאמפני
עסק	business	ביזנס
מוצר	product	פרודקט
שירות	service	סרוויס
הנחה	discount	דיסקאונט
קבלה	receipt	ריסיט
מטבע	coin	קוין
שטר	bill	ביל
כרטיס אשראי	credit card	קרדיט קארד
חשבון בנק	bank account	בנק אקאונט
הלוואה	loan	לון
חיסכון	savings	סייבינגז
מס	tax	טקס
תקציב	budget	באג'ט
רשימה	list	ליסט
תוכנית	plan	פלאן
מטרה	goal	גול
חובה	duty	דיוטי
הזדמנות	opportunity	אופורטוניטי
החלטה	decision	דיסיז'ן
בחירה	choice	צ'ויס
סיבה	reason	ריזן
תוצאה	result	ריזאלט
דוגמה	example	אקזמפל
הבדל	difference	דיפרנס
שינוי	change	צ'יינג'
מצב	situation	סיטואיישן
סכנה גדולה	great danger	גרייט דיינג'ר
תאונה	accident	אקסידנט
שריפה	fire	פאייר
רעידת אדמה	earthquake	ארת'קוויק
שיטפון	flood	פלאד
בצורת	drought	דראוט
אקלים	climate	קליימט
טמפרטורה	temperature	טמפרצ'ר
מעלה	degree	דיגרי
ערפל	fog	פוג
טל	dew	דיו
ברד	hail	הייל
לחות	humidity	היומידיטי
זריחה	sunrise	סאנראייז
שקיעה	sunset	סאנסט
צל	shadow	שאדו
חלל	space	ספייס
כוכב לכת	planet	פלאנט
גלקסיה	galaxy	גלקסי
חללית	spaceship	ספייסשיפ
אסטרונאוט	astronaut	אסטרונוט
טלסקופ	telescope	טלסקופ
מיקרוסקופ	microscope	מייקרוסקופ
מעבדה	laboratory	לבורטורי
ניסוי	experiment	אקספרימנט
תגלית	discovery	דיסקברי
המצאה	invention	אינבנשן
טכנולוגיה	technology	טכנולוג'י
מדע בדיוני	science fiction	סיינס פיקשן
אגדה	legend	לג'נד
אגדת ילדים	fairy tale	פרי טייל
שיר ערש	lullaby	לאלאבאיי
שירה	poetry	פואטרי
רומן	novel	נובל
עיתונאי	journalist	ג'ורנליסט
כתבה	article	ארטיקל
כותרת	headline	הדליין
פרק	chapter	צ'אפטר
עמוד	page	פייג'
כריכה	cover	קאבר
אות אלפבית	letter	לטר
אלפבית	alphabet	אלפבט
דקדוק	grammar	גרמר
הגייה	pronunciation	פרונאנסיאיישן
מבטא	accent	אקסנט
תרגום	translation	טרנסלייישן
מתורגמן	interpreter	אינטרפרטר
שיחה	conversation	קונברסיישן
ויכוח	argument	ארגיומנט
הסכם	agreement	אגרימנט
הבטחה	promise	פרומיס
הזמנה	invitation	אינוויטיישן
ברכה	blessing	בלסינג
איחולים	wishes	וישז
